Date,SPY,GOOG,TSLA,FB,AAPL,MSFT,BTC-USD,ETH-USD,ADA-USD,XRP-USD,DOGE-USD,LTC-USD,XLM-USD,LINK-USD,total_cases,new_cases,total_deaths,new_deaths,new_tests,total_tests,positive_rate,total_vaccinations,people_vaccinated,total_cases_rate,new_cases_rate,total_deaths_rate
2021-07-14,434.8468933105469,2641.64990234375,653.3800048828125,347.6300048828125,148.70982360839844,281.97021484375,32822.34765625,1994.331298828125,1.2622580528259277,0.6203240156173706,0.1973239928483963,131.06260681152344,0.24011600017547607,16.945682525634766,34032029.0,33170.0,607677.0,332.0,757886.0,479172848.0,0.042,343272826.0,187275490.0,0.10222435587281338,9.963501983091339e-05,0.001825321373101898
2021-07-15,433.3616638183594,2625.330078125,650.5999755859375,344.4599914550781,148.04180908203125,280.4930114746094,31780.73046875,1911.1756591796875,1.2231919765472412,0.5969409942626953,0.18488800525665283,125.49156188964844,0.2409829944372177,15.681652069091797,34061936.0,29907.0,608003.0,326.0,766719.0,479939567.0,0.044,343807815.0,187572644.0,0.10231418959419061,8.983372137724229e-05,0.0018263006018165461
2021-07-16,429.9625244140625,2636.909912109375,644.219970703125,341.1600036621094,145.95797729492188,280.21356201171875,31421.5390625,1880.3829345703125,1.1737149953842163,0.5907739996910095,0.17234499752521515,121.04105377197266,0.23642300069332123,15.26286506652832,34139415.0,77479.0,608361.0,358.0,723222.0,480662789.0,0.05,344426777.0,187919550.0,0.10254691861744897,0.00023272902325834606,0.0018273759511412211
2021-07-17,,,,,,,31533.068359375,1898.8251953125,1.172302007675171,0.582427978515625,0.1861249953508377,120.0270767211914,0.23300200700759888,15.360055923461914,34151301.0,11886.0,608428.0,67.0,525360.0,481188149.0,0.05,344823270.0,188143120.0,0.1025826214165358,3.570279908683258e-05,0.0018275772036684646
2021-07-18,,,,,,,31796.810546875,1895.5521240234375,1.183698058128357,0.5879219770431519,0.18223300576210022,119.51201629638672,0.23073799908161163,15.502411842346191,34171276.0,19975.0,608601.0,173.0,396007.0,481584156.0,0.052,345055091.0,188278314.0,0.10264262170357596,6.000028704017169e-05,0.0018280968557164222
2021-07-19,423.6128845214844,2585.080078125,646.219970703125,336.95001220703125,142.02960205078125,276.480712890625,30817.83203125,1817.296630859375,1.121116042137146,0.5575559735298157,0.17355599999427795,113.16480255126953,0.21152299642562866,14.509061813354492,34223397.0,52121.0,608801.0,200.0,656994.0,482241150.0,0.055,345617997.0,188617513.0,0.10279918115092619,0.00015655944735022722,0.0018286976095290897
2021-07-20,429.6834411621094,2622.030029296875,660.5,341.6600036621094,145.7186737060547,278.7862854003906,29807.34765625,1787.5107421875,1.0562909841537476,0.5293359756469727,0.17080099880695343,107.39948272705078,0.21239399909973145,13.775897026062012,34263969.0,40572.0,609093.0,292.0,898609.0,483139759.0,0.056,346216596.0,188989069.0,0.10292105006936393,0.00012186891843773947,0.0018295747100955844
2021-07-21,433.16229248046875,2652.010009765625,655.2899780273438,346.2300109863281,144.9709014892578,280.8623046875,32110.693359375,1990.9708251953125,1.168097972869873,0.569998025894165,0.19034899771213531,117.45989227294922,0.2278359979391098,15.268477439880371,34314554.0,50585.0,609445.0,352.0,925474.0,484065233.0,0.058,346840366.0,189374601.0,0.10307299572743288,0.00015194565806894044,0.0018306320368058793
2021-07-22,434.0693664550781,2666.570068359375,649.260009765625,351.19000244140625,146.36676025390625,285.59326171875,32313.10546875,2025.2027587890625,1.1861610412597656,0.5922060012817383,0.19130299985408783,120.73579406738281,0.2635999917984009,16.085718154907227,34369221.0,54667.0,609739.0,294.0,914278.0,484979511.0,0.061,347483520.0,189789879.0,0.10323720277081837,0.00016420704338548515,0.0018315151449105004
2021-07-23,438.53509521484375,2756.320068359375,643.3800048828125,369.7900085449219,148.12158203125,289.11651611328125,33581.55078125,2124.776611328125,1.206307053565979,0.6092240214347839,0.19476400315761566,124.2494125366211,0.2694590091705322,16.51156234741211,34488617.0,119396.0,610299.0,560.0,878838.0,485858349.0,0.067,348224551.0,190276649.0,0.10359584078190463,0.0003586380110862748,0.0018331972555859697
2021-07-24,,,,,,,34292.4453125,2189.21875,1.2334970235824585,0.6098269820213318,0.19731900095939636,126.18867492675781,0.26768600940704346,16.70583152770996,34513798.0,25181.0,610418.0,119.0,652642.0,486510991.0,0.068,348684441.0,190578043.0,0.10367147869068855,7.563790878390805e-05,0.001833554704104507
2021-07-25,,,,,,,35350.1875,2191.373779296875,1.2285009622573853,0.6063569784164429,0.19786399602890015,127.59797668457031,0.2617419958114624,16.759658813476562,34539433.0,25635.0,610503.0,85.0,490565.0,487001556.0,0.068,348941640.0,190779215.0,0.10374848031062721,7.70016199386634e-05,0.0018338100244748906
2021-07-26,439.61163330078125,2792.889892578125,657.6199951171875,372.4599914550781,148.55032348632812,288.4976806640625,37337.53515625,2233.36669921875,1.2584929466247559,0.6256179809570312,0.20441900193691254,131.36248779296875,0.261478990316391,18.08965301513672,34625956.0,86523.0,610768.0,265.0,782904.0,487784460.0,0.073,349579262.0,191224594.0,0.10400837542129437,0.00025989511066717275,0.001834606023276675
2021-07-27,437.6080627441406,2735.929931640625,644.780029296875,367.80999755859375,146.33685302734375,285.99249267578125,39406.94140625,2298.33349609375,1.2784459590911865,0.6446040272712708,0.20589900016784668,134.6178741455078,0.2631239891052246,19.4996337890625,34694692.0,68736.0,611217.0,449.0,1032630.0,488817090.0,0.076,350274189.0,191703343.0,0.10421484249163196,0.00020646707033758406,0.0018359547155861137
2021-07-28,437.4286193847656,2727.6298828125,646.97998046875,373.2799987792969,144.55213928222656,285.673095703125,39995.90625,2296.54541015625,1.2835040092468262,0.7254449725151062,0.2053920030593872,139.83660888671875,0.2689340114593506,19.0302734375,34764122.0,69430.0,611598.0,381.0,1101561.0,489918651.0,0.077,350987023.0,192191929.0,0.10442339417769951,0.00020855168606754047,0.0018370991515992453
2021-07-29,439.2427978515625,2730.81005859375,677.3499755859375,358.32000732421875,145.21018981933594,285.95257568359375,40008.421875,2380.956787109375,1.2840839624404907,0.7480170130729675,0.20461900532245636,141.3212890625,0.2722969949245453,19.345849990844727,34843409.0,79287.0,611925.0,327.0,1104244.0,491022895.0,0.078,351699882.0,192687104.0,0.10466155401542436,0.00023815983772486072,0.001838081384082957
2021-07-30,437.1096496582031,2704.419921875,687.2000122070312,356.29998779296875,145.42953491210938,284.3656005859375,42235.546875,2466.96142578125,1.3089519739151,0.7521190047264099,0.20882099866867065,145.7750244140625,0.27942100167274475,22.315961837768555,35031481.0,188072.0,612798.0,873.0,1045629.0,492068524.0,0.087,352525372.0,193258326.0,0.10522647887070442,0.0005649248552800586,0.0018407036744752508
2021-07-31,,,,,,,41626.1953125,2536.2099609375,1.3223450183868408,0.7477859854698181,0.20831400156021118,144.93321228027344,0.28569701313972473,22.75370216369629,35064141.0,32660.0,612951.0,153.0,763655.0,492832179.0,0.087,353034295.0,193602869.0,0.10532458196831304,9.810309760861114e-05,0.0018411632511419415
2021-08-01,,,,,,,39974.89453125,2561.85205078125,1.3177299499511719,0.7259219884872437,0.2044370025396347,140.73553466796875,0.27617698907852173,22.12683868408203,35107074.0,42933.0,613164.0,213.0,566536.0,493398715.0,0.089,353349813.0,193824031.0,0.10545354278550932,0.00012896081719627992,0.0018418030539524323
2021-08-02,436.19256591796875,2719.7900390625,709.6699829101562,351.95001220703125,145.09054565429688,284.2757873535156,39201.9453125,2610.1533203125,1.3100680112838745,0.7392200231552124,0.20360000431537628,141.50550842285156,0.2746089994907379,23.480348587036133,35227291.0,120217.0,613525.0,361.0,964106.0,494362821.0,0.091,354060273.0,194325482.0,0.1058146468909966,0.0003611041054872751,0.0018428874145842973
2021-08-03,439.7412109375,2725.60009765625,709.739990234375,351.239990234375,146.92510986328125,286.5713806152344,38152.98046875,2502.349609375,1.3650259971618652,0.7127289772033691,0.19596700370311737,138.2908477783203,0.2741680145263672,23.875957489013672,35330481.0,103190.0,614109.0,584.0,1261822.0,495624643.0,0.093,354814411.0,194859676.0,0.10612460582064241,0.00030995892964582315,0.0018446416157172866
2021-08-04,437.5781555175781,2720.570068359375,710.9199829101562,358.9200134277344,146.51632690429688,285.9625549316406,39747.50390625,2724.619873046875,1.3765640258789062,0.7304880023002625,0.20148999989032745,142.623046875,0.28036800026893616,24.188875198364258,35427150.0,96669.0,614642.0,533.0,1318019.0,496942662.0,0.094,355582955.0,195407414.0,0.10641497717222621,0.0002903713515837976,0.0018462426246280456
2021-08-05,440.3492736816406,2738.800048828125,714.6300048828125,362.9700012207031,146.62600708007812,288.966796875,40869.5546875,2827.328857421875,1.386144995689392,0.7331510186195374,0.2009740024805069,143.43597412109375,0.2804180085659027,24.050495147705078,35538060.0,110910.0,615146.0,504.0,1373450.0,498316112.0,0.095,356366144.0,195962456.0,0.106748125199041,0.0003331480268147906,0.0018477565242359677
2021-08-06,441.0769348144531,2740.719970703125,699.0999755859375,363.510009765625,145.92701721191406,288.90692138671875,42816.5,2890.941650390625,1.401785969734192,0.7465130090713501,0.20468799769878387,147.8009490966797,0.28474900126457214,23.85933494567871,35793352.0,255292.0,616300.0,1154.0,1329229.0,499645341.0,0.101,357262815.0,196583155.0,0.10751496341075863,0.0007668382117176226,0.0018512228737350596
2021-08-07,,,,,,,44555.80078125,3157.23876953125,1.4706770181655884,0.8162810206413269,0.26034098863601685,155.86477661132812,0.30625900626182556,24.63165283203125,35842433.0,49081.0,616548.0,248.0,998900.0,500644241.0,0.1,357814695.0,196962300.0,0.10766239140015631,0.00014742798939768045,0.0018519678084627674
2021-08-08,,,,,,,43798.1171875,3013.732666015625,1.4278299808502197,0.7787389755249023,0.2400449961423874,149.8477325439453,0.28733599185943604,23.045608520507812,35870310.0,27877.0,616662.0,114.0,713606.0,501357847.0,0.096,358159676.0,197197279.0,0.10774612747033498,8.373607017866664e-05,0.0018523102381359877
2021-08-09,440.71807861328125,2760.0400390625,713.760009765625,361.6099853515625,145.87709045410156,287.779052734375,46365.40234375,3167.856201171875,1.4776400327682495,0.8185529708862305,0.2568970024585724,166.516357421875,0.2991879880428314,24.287246704101562,36050046.0,179736.0,617168.0,506.0,1128672.0,502486519.0,0.101,358932537.0,197713463.0,0.10828601290670305,0.0005398854363680751,0.0018538301452820367
